=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.02.06 11:54:08 =~=~=~=~=~=~=~=~=~=~=~=
520,274426
521,274447
522,274569
523,274574
524,277152
525,278174
526,278178
527,278596
528,279511
529,279729
530,279757
531,279857
532,279950
533,279981
534,280609
535,280976
536,282273
537,282669
538,282708
539,282925
540,283131
541,284093
542,284459
543,285585
544,285925
545,285933
546,286164
547,286183
548,286761
549,287079
550,288091
551,288847
552,289120
553,289732
554,289782
555,290219
556,291706
557,291760
558,292403
559,293108
560,293220
561,294578
562,294721
563,294970
564,295045
565,295600
566,297579
567,297864
568,297945
569,298094
570,298230
571,298234
572,298358
573,298381
574,298390
575,298715
576,298802
577,299058
578,299344
579,299397
580,299536
581,299603
582,299907
583,300039
584,300279
585,300305
586,300907
587,301368
588,302110
589,302169
590,302630
591,303031
592,303810
593,304036
594,304329
595,306843
596,309916
597,310531
598,310619
599,310989
600,311576
601,311862
602,312303
603,312435
604,313750
605,314031
606,314708
607,314963
608,315006
609,315568
610,315655
611,316510
612,316997
613,318556
614,318654
615,318668
616,318905
617,319947
618,320056
619,320148
620,321432
621,322193
622,322482
623,322871
624,323212
625,323610
626,323939
627,324284
628,324645
629,324952
630,325958
631,326979
632,327050
633,327756
634,327833
635,328098
636,328904
637,328963
638,329357
639,329605
640,330361
641,330524
642,331287
643,331331
644,331494
645,331511
646,331571
647,331967
648,332039
649,332495
650,333400
651,333729
652,333940
653,334135
654,335513
655,336386
656,336888
657,337296
658,337321
659,337335
660,337740
661,337752
662,337932
663,338045
664,338087
665,339080
666,339374
667,339648
668,340775
669,341839
670,342299
671,342681
672,343932
673,344486
674,344842
675,345678
676,346861
677,346887
678,348071
679,348273
680,348699
681,348925
682,348980
683,350005
684,350150
685,350513
686,350921
687,350989
688,351774
689,352160
690,352631
691,353171
692,353425
693,354292
694,354874
695,355097
696,355574
697,356995
698,357235
699,358121
700,358745
701,359131
702,359233
703,360312
704,361103
705,363202
706,363539
707,365245
708,365430
709,366342
710,366407
711,366799
712,367242
713,368005
714,368932
715,369145
716,369264
717,369724
718,369853
719,370098
720,370476
721,370565
722,370825
723,370838
724,372921
725,373335
726,373886
727,374071
728,374482
729,374650
730,376412
731,376886
732,376932
733,377226
734,377291
735,377848
736,379113
737,379407
738,379747
739,380053
740,380081
741,380154
742,380427
743,380755
744,380791
745,380886
746,381259
747,383727
748,384442
749,384648
750,386854
751,387349
752,387918
753,388243
754,388357
755,388447
756,388629
757,388669
758,389770
759,391997
760,392220
761,393646
762,396674
763,396957
764,397185
765,397819
766,398705
767,398814
768,399642
769,399689
770,400235
771,400304
772,400402
773,400874
774,401356
775,401607
776,401701
777,401715
778,403672
779,404646
780,404823
781,405543
782,406298
783,406888
784,407733
785,407975
786,408261
787,408680
788,409244
789,409961
790,411377
791,411411
792,411594
793,411628
794,412050
795,412796
796,415250
797,415666
798,415727
799,416854
800,416876
801,416887
802,417619
803,418200
804,418259
805,418834
806,419832
807,419948
808,420116
809,420840
810,421273
811,421635
812,422173
813,422319
814,422325
815,423477
816,423655
817,424568
818,425836
819,425942
820,426311
821,427472
822,427649
823,429517
824,429853
825,430433
826,431452
827,431688
828,431799
829,432306
